X-axis,Y-axis,Noise,Type
0,0,0, 'dark_water'
105,0,0, 'dark_water'
210,0,0, 'dark_water'
315,0,0, 'dark_water'
420,0,0, 'dark_water'
525,0,0, 'dark_water'
630,0,0, 'dark_water'
735,0,0, 'dark_water'
840,0,0, 'dark_water'
945,0,0, 'dark_water'
1050,0,0, 'dark_water'
1155,0,0, 'dark_water'
1260,0,0, 'dark_water'
1365,0,0, 'dark_water'
1470,0,0, 'dark_water'
1575,0,0, 'dark_water'
1680,0,0, 'dark_water'
52.5,30.1,0, 'dark_water'
157.5,30.1,0, 'dark_water'
262.5,30.1,0, 'dark_water'
367.5,30.1,0, 'dark_water'
472.5,30.1,0, 'dark_water'
577.5,30.1,0, 'dark_water'
682.5,30.1,0, 'dark_water'
787.5,30.1,0, 'dark_water'
892.5,30.1,0, 'dark_water'
997.5,30.1,0, 'dark_water'
1102.5,30.1,0, 'dark_water'
1207.5,30.1,0, 'dark_water'
1312.5,30.1,0, 'dark_water'
1417.5,30.1,0, 'dark_water'
1522.5,30.1,0, 'dark_water'
1627.5,30.1,0, 'dark_water'
1732.5,30.1,0, 'dark_water'
0,60.2,0, 'dark_water'
105,60.2,0, 'dark_water'
210,60.2,0, 'dark_water'
315,60.2,0, 'dark_water'
420,60.2,0, 'dark_water'
525,60.2,0, 'dark_water'
630,60.2,0, 'dark_water'
735,60.2,0, 'dark_water'
840,60.2,0, 'dark_water'
945,60.2,0, 'dark_water'
1050,60.2,0, 'dark_water'
1155,60.2,0, 'dark_water'
1260,60.2,0, 'dark_water'
1365,60.2,0, 'dark_water'
1470,60.2,0, 'dark_water'
1575,60.2,0, 'dark_water'
1680,60.2,0, 'dark_water'
52.5,90.3,0, 'dark_water'
157.5,90.3,0, 'dark_water'
262.5,90.3,0, 'dark_water'
367.5,90.3,0, 'dark_water'
472.5,90.3,0, 'dark_water'
577.5,90.3,0, 'dark_water'
682.5,90.3,0, 'dark_water'
787.5,90.3,10.3859496116638, 'water'
892.5,90.3,3.08665752410889, 'dark_water'
997.5,90.3,0, 'dark_water'
1102.5,90.3,0, 'dark_water'
1207.5,90.3,0, 'dark_water'
1312.5,90.3,0, 'dark_water'
1417.5,90.3,0, 'dark_water'
1522.5,90.3,0, 'dark_water'
1627.5,90.3,0, 'dark_water'
1732.5,90.3,0, 'dark_water'
0,120.4,0, 'dark_water'
105,120.4,0, 'dark_water'
210,120.4,0, 'dark_water'
315,120.4,0, 'dark_water'
420,120.4,0, 'dark_water'
525,120.4,0, 'dark_water'
