(0, 0.0, 0, 'dark_water')),(30, 0.0, 0, 'dark_water')),(60, 0.0, 0, 'dark_water')),(90, 0.0, 0, 'dark_water')),(120, 0.0, 0, 'dark_water')),(150, 0.0, 0, 'dark_water')),(180, 0.0, 0, 'dark_water')),
(15.0, 8.6, 0, 'dark_water')),(45.0, 8.6, 0, 'dark_water')),(75.0, 8.6, 0, 'dark_water')),(105.0, 8.6, 1.3664674758911133, 'dark_water')),(135.0, 8.6, 0, 'dark_water')),(165.0, 8.6, 0, 'dark_water')),(195.0, 8.6, 0, 'dark_water')),
(0, 17.2, 0, 'dark_water')),(30, 17.2, 0, 'dark_water')),(60, 17.2, 6.711773872375488, 'dark_water')),(90, 17.2, 23.4987473487854, 'sand')),(120, 17.2, 8.496204614639282, 'dark_water')),(150, 17.2, 0, 'dark_water')),(180, 17.2, 0, 'dark_water')),
(15.0, 25.799999999999997, 0, 'dark_water')),(45.0, 25.799999999999997, 9.431276321411133, 'dark_water')),(75.0, 25.799999999999997, 42.20572471618652, 'dark_grass')),(105.0, 25.799999999999997, 46.47216439247131, 'dark_grass')),(135.0, 25.799999999999997, 9.701818227767944, 'dark_water')),(165.0, 25.799999999999997, 0, 'dark_water')),(195.0, 25.799999999999997, 0, 'dark_water')),
(0, 34.4, 0, 'dark_water')),(30, 34.4, 0, 'dark_water')),(60, 34.4, 40.56546449661255, 'dark_grass')),(90, 34.4, 55.42149782180786, 'dark_grass')),(120, 34.4, 40.666548013687134, 'dark_grass')),(150, 34.4, 9.117093086242676, 'dark_water')),(180, 34.4, 0, 'dark_water')),
(15.0, 43.0, 0, 'dark_water')),(45.0, 43.0, 32.63435125350952, 'grass')),(75.0, 43.0, 65.22707462310791, 'rocky')),(105.0, 43.0, 60.960609912872314, 'rocky')),(135.0, 43.0, 47.67590403556824, 'dark_grass')),(165.0, 43.0, 5.452508926391602, 'dark_water')),(195.0, 43.0, 0, 'dark_water')),
(0, 51.599999999999994, 0, 'dark_water')),(30, 51.599999999999994, 24.62730646133423, 'sand')),(60, 51.599999999999994, 62.46550261974335, 'rocky')),(90, 51.599999999999994, 75.55437326431274, 'snowy')),(120, 51.599999999999994, 61.46247625350952, 'rocky')),(150, 51.599999999999994, 48.66390109062195, 'dark_grass')),(180, 51.599999999999994, 0, 'dark_water')),
(15.0, 60.199999999999996, 0, 'dark_water')),(45.0, 60.199999999999996, 49.936081767082214, 'dark_grass')),(75.0, 60.199999999999996, 77.4451844394207, 'snowy')),(105.0, 60.199999999999996, 74.57561194896698, 'snowy')),(135.0, 60.199999999999996, 59.89065706729889, 'dark_grass')),(165.0, 60.199999999999996, 28.751678466796875, 'grass')),(195.0, 60.199999999999996, 0, 'dark_water')),
(0, 68.8, 0, 'dark_water')),(30, 68.8, 31.603935956954956, 'grass')),(60, 68.8, 73.58955502510071, 'snowy')),(90, 68.8, 76.29944421350956, 'snowy')),(120, 68.8, 74.0376216173172, 'snowy')),(150, 68.8, 54.6190881729126, 'dark_grass')),(180, 68.8, 2.2989392280578613, 'dark_water')),
(15.0, 77.39999999999999, 7.488738298416138, 'dark_water')),(45.0, 77.39999999999999, 66.9988614320755, 'rocky')),(75.0, 77.39999999999999, 73.56184378266335, 'snowy')),(105.0, 77.39999999999999, 71.90854769200087, 'snowy')),(135.0, 77.39999999999999, 72.99822807312012, 'snowy')),(165.0, 77.39999999999999, 38.34199905395508, 'grass')),(195.0, 77.39999999999999, 0, 'dark_water')),
(0, 86.0, 0, 'dark_water')),(30, 86.0, 35.701414346694946, 'grass')),(60, 86.0, 76.63611754775047, 'snowy')),(90, 86.0, 69.29055950604379, 'rocky')),(120, 86.0, 77.70736679434776, 'snowy')),(150, 86.0, 64.44486737251282, 'rocky')),(180, 86.0, 7.113404273986816, 'dark_water')),
