(0, 0.0, 0, 'dark_water'),(30, 0.0, 0, 'dark_water'),(60, 0.0, 0, 'dark_water'),(90, 0.0, 0, 'dark_water'),(120, 0.0, 0, 'dark_water'),(150, 0.0, 0, 'dark_water'),
(15.0, 8.6, 0, 'dark_water'),(45.0, 8.6, 0, 'dark_water'),(75.0, 8.6, 0, 'dark_water'),(105.0, 8.6, 0, 'dark_water'),(135.0, 8.6, 0, 'dark_water'),(165.0, 8.6, 0, 'dark_water'),
(0, 17.2, 0, 'dark_water'),(30, 17.2, 0, 'dark_water'),(60, 17.2, 10.065414905548096, 'water'),(90, 17.2, 11.985197067260742, 'water'),(120, 17.2, 0, 'dark_water'),(150, 17.2, 0, 'dark_water'),
(15.0, 25.799999999999997, 0, 'dark_water'),(45.0, 25.799999999999997, 9.509961605072021, 'dark_water'),(75.0, 25.799999999999997, 29.26468849182129, 'grass'),(105.0, 25.799999999999997, 33.6028254032135, 'grass'),(135.0, 25.799999999999997, 0.5011153221130371, 'dark_water'),(165.0, 25.799999999999997, 0, 'dark_water'),
(0, 34.4, 0, 'dark_water'),(30, 34.4, 0, 'dark_water'),(60, 34.4, 26.98286533355713, 'grass'),(90, 34.4, 46.68452739715576, 'dark_grass'),(120, 34.4, 34.89632248878479, 'grass'),(150, 34.4, 0, 'dark_water'),
(15.0, 43.0, 0, 'dark_water'),(45.0, 43.0, 20.593185424804688, 'sand'),(75.0, 43.0, 43.70640993118286, 'dark_grass'),(105.0, 43.0, 50.55185794830322, 'dark_grass'),(135.0, 43.0, 30.977193117141724, 'grass'),(165.0, 43.0, 0, 'dark_water'),
(0, 51.599999999999994, 0, 'dark_water'),(30, 51.599999999999994, 15.655510425567627, 'water'),(60, 51.599999999999994, 32.83138811588287, 'grass'),(90, 51.599999999999994, 53.601672649383545, 'dark_grass'),(120, 51.599999999999994, 49.936866760253906, 'dark_grass'),(150, 51.599999999999994, 27.408238649368286, 'grass'),
(15.0, 60.199999999999996, 0, 'dark_water'),(45.0, 60.199999999999996, 29.308210015296936, 'grass'),(75.0, 60.199999999999996, 47.62280747294426, 'dark_grass'),(105.0, 60.199999999999996, 52.67366588115692, 'dark_grass'),(135.0, 60.199999999999996, 45.84787666797638, 'dark_grass'),(165.0, 60.199999999999996, 15.45576810836792, 'water'),
(0, 68.8, 0, 'dark_water'),(30, 68.8, 22.765806913375854, 'sand'),(60, 68.8, 40.53249478340149, 'dark_grass'),(90, 68.8, 54.68917228281498, 'dark_grass'),(120, 68.8, 47.09971010684967, 'dark_grass'),(150, 68.8, 42.10681915283203, 'dark_grass'),
(15.0, 77.39999999999999, 6.0736048221588135, 'dark_water'),(45.0, 77.39999999999999, 36.86312019824982, 'grass'),(75.0, 77.39999999999999, 54.05366197228432, 'dark_grass'),(105.0, 77.39999999999999, 48.43352537602186, 'dark_grass'),(135.0, 77.39999999999999, 47.60369539260864, 'dark_grass'),(165.0, 77.39999999999999, 35.76887369155884, 'grass'),
(0, 86.0, 0, 'dark_water'),(30, 86.0, 33.174294233322144, 'grass'),(60, 86.0, 45.188153833150864, 'dark_grass'),(90, 86.0, 47.63809106312692, 'dark_grass'),(120, 86.0, 41.38431295752525, 'dark_grass'),(150, 86.0, 43.41697096824646, 'dark_grass'),
(15.0, 94.6, 4.453589916229248, 'dark_water'),(45.0, 94.6, 47.598214745521545, 'dark_grass'),(75.0, 94.6, 49.96384900063276, 'dark_grass'),(105.0, 94.6, 38.99973669089377, 'grass'),(135.0, 94.6, 39.7102689743042, 'grass'),(165.0, 94.6, 32.33974099159241, 'grass'),
(0, 103.19999999999999, 0, 'dark_water'),(30, 103.19999999999999, 34.383054971694946, 'grass'),(60, 103.19999999999999, 51.74860194325447, 'dark_grass'),(90, 103.19999999999999, 44.05154824024066, 'dark_grass'),(120, 103.19999999999999, 42.8053068369627, 'dark_grass'),(150, 103.19999999999999, 38.579968214035034, 'grass'),
(15.0, 111.8, 0.11978030204772949, 'dark_water'),(45.0, 111.8, 42.434157729148865, 'dark_grass'),(75.0, 111.8, 44.07296262681484, 'dark_grass'),(105.0, 111.8, 44.769945088773966, 'dark_grass'),(135.0, 111.8, 39.20898914337158, 'grass'),(165.0, 111.8, 32.75090575218201, 'grass'),
(0, 120.39999999999999, 0, 'dark_water'),(30, 120.39999999999999, 21.23070001602173, 'sand'),(60, 120.39999999999999, 40.24645417928696, 'dark_grass'),(90, 120.39999999999999, 46.48414235562086, 'dark_grass'),(120, 120.39999999999999, 39.983724653720856, 'grass'),(150, 120.39999999999999, 39.43788170814514, 'grass'),
(15.0, 129.0, 0, 'dark_water'),(45.0, 129.0, 30.797762274742126, 'grass'),(75.0, 129.0, 42.98542678356171, 'dark_grass'),(105.0, 129.0, 46.10275760293007, 'dark_grass'),(135.0, 129.0, 38.80111634731293, 'grass'),(165.0, 129.0, 30.75922966003418, 'grass'),
(0, 137.6, 0, 'dark_water'),(30, 137.6, 13.062171936035156, 'water'),(60, 137.6, 41.610342264175415, 'dark_grass'),(90, 137.6, 44.72563326358795, 'dark_grass'),(120, 137.6, 44.455921053886414, 'dark_grass'),(150, 137.6, 41.9791316986084, 'dark_grass'),
(15.0, 146.2, 0, 'dark_water'),(45.0, 146.2, 23.393168449401855, 'sand'),(75.0, 146.2, 47.967347502708435, 'dark_grass'),(105.0, 146.2, 38.594572842121124, 'grass'),(135.0, 146.2, 42.434425950050354, 'dark_grass'),(165.0, 146.2, 14.860975742340088, 'water'),
(0, 154.79999999999998, 0, 'dark_water'),(30, 154.79999999999998, 0, 'dark_water'),(60, 154.79999999999998, 32.82764911651611, 'grass'),(90, 154.79999999999998, 38.77205193042755, 'grass'),(120, 154.79999999999998, 36.46537005901337, 'grass'),(150, 154.79999999999998, 23.428895473480225, 'sand'),
(15.0, 163.4, 0, 'dark_water'),(45.0, 163.4, 8.994269371032715, 'dark_water'),(75.0, 163.4, 30.327340364456177, 'grass'),(105.0, 163.4, 27.88206696510315, 'grass'),(135.0, 163.4, 21.74919605255127, 'sand'),(165.0, 163.4, 0, 'dark_water'),
(0, 172.0, 0, 'dark_water'),(30, 172.0, 0, 'dark_water'),(60, 172.0, 7.875680923461914, 'dark_water'),(90, 172.0, 21.94261908531189, 'sand'),(120, 172.0, 11.606515645980835, 'water'),(150, 172.0, 0, 'dark_water'),
(15.0, 180.6, 0, 'dark_water'),(45.0, 180.6, 0, 'dark_water'),(75.0, 180.6, 1.0528278350830078, 'dark_water'),(105.0, 180.6, 9.547762870788574, 'dark_water'),(135.0, 180.6, 0, 'dark_water'),(165.0, 180.6, 0, 'dark_water'),
(0, 189.2, 0, 'dark_water'),(30, 189.2, 0, 'dark_water'),(60, 189.2, 0, 'dark_water'),(90, 189.2, 0, 'dark_water'),(120, 189.2, 0, 'dark_water'),(150, 189.2, 0, 'dark_water'),
(15.0, 197.79999999999998, 0, 'dark_water'),(45.0, 197.79999999999998, 0, 'dark_water'),(75.0, 197.79999999999998, 0, 'dark_water'),(105.0, 197.79999999999998, 0, 'dark_water'),(135.0, 197.79999999999998, 0, 'dark_water'),(165.0, 197.79999999999998, 0, 'dark_water'),
